title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
"After Dark, My Sweet",James Foley,N/A,"$5,337,800",Avenue Pict.,"August 24, 1990",Romantic Thriller,1 hrs. 54 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Earth,M. Night Shyamalan,N/A,"$60,883,200",Sony / Columbia,"May 31, 2013",Sci-Fi,1 hrs. 40 min.,PG-13,$130 million,"$243,843,127",Kristofer Hivju,Jaden Smith,Will Smith,N/A,N/A,N/A,Jada Pinkett-Smith,M. Night Shyamalan,Will Smith,N/A,N/A,N/A,M. Night Shyamalan,Gary Whitta,James Newton Howard,N/A
After Freedom,N/A,N/A,"$48,400",Vitagraph,"May 14, 2004",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Hours,Martin Scorsese,N/A,"$25,193,400",Warner Bros.,"September 13, 1985",Unknown,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard Shore,N/A
After Innocence,N/A,N/A,"$148,100",New Yorker,"October 21, 2005",Documentary,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Life,N/A,N/A,"$1,330,800",Artistic License,"May 14, 1999",Foreign,1 hrs. 58 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Midnight,N/A,N/A,"$162,100",MGM,"November 3, 1989",Unknown,1 hrs. 33 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Midnight,N/A,N/A,"$67,100",Avatar,"December 3, 2004",Foreign,1 hrs. 29 min.,Unrated,N/A,"$1,576,003",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After School,N/A,N/A,"$8,100",Moviestore Ent.,"September 23, 1988",Unknown,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After The Ball,N/A,N/A,"$166,900",Freestyle Releasing,"February 27, 2015",Romantic Comedy,1 hrs. 42 min.,Unrated,N/A,"$161,820",Portia Doubleday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Cup:<br/>Sons of Sakhnin United,N/A,N/A,"$12,200",Variance Films,"May 21, 2010",Documentary,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Life:<br/>Trilogy 3,N/A,N/A,"$37,000",Magnolia,"February 13, 2004",Foreign,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Storm,N/A,N/A,"$106,700",Film Movement,"March 17, 2017",Drama,1 hrs. 57 min.,Unrated,N/A,"$109,474",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Sunset,Brett Ratner,N/A,"$38,447,400",New Line,"November 12, 2004",Romantic Thriller,1 hrs. 38 min.,PG-13,$60 million,"$61,347,797",Pierce Brosnan,Salma Hayek,Woody Harrelson,Don Cheadle,Naomie Harris,N/A,Beau Flynn,Jay Stern,Tripp Vinson,N/A,N/A,N/A,Craig Rosenberg,N/A,N/A,N/A
After the Wedding,N/A,N/A,"$1,880,300",IFC,"March 30, 2007",Foreign,2 hrs. 0 min.,R,N/A,"$11,632,723",Mads Mikkelsen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Wizard,N/A,N/A,"$3,300",Breaking Glass Pictures,"August 10, 2012",Fantasy,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Tiller,N/A,N/A,"$74,000",Oscilloscope Pictures,"September 20, 2013",Documentary,1 hrs. 25 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After.Life,N/A,N/A,"$115,100",Anchor Bay Films,"April 9, 2010",Horror Thriller,1 hrs. 37 min.,R,N/A,"$2,002,618",Liam Neeson,Justin Long,Christina Ricci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paul Haslinger,N/A
Afterglow,N/A,N/A,"$4,432,400",Sony Classics,"December 26, 1997",Romance,1 hrs. 53 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Isham,N/A
The Afterlight,N/A,N/A,"$3,300",Cinema Purgatorio,"September 10, 2010",Drama / Thriller,1 hrs. 27 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aftermath (2014),N/A,N/A,"$3,500",Freestyle Releasing,"November 28, 2014",Crime Thriller,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afternoon Delight,N/A,N/A,"$187,600",The Film Arcade,"August 30, 2013",Comedy / Drama,1 hrs. 35 min.,R,N/A,N/A,Josh Radnor,Juno Temple,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afternoon of a Faun,N/A,N/A,"$179,800",Kino Lorber,"February 5, 2014",Documentary,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afterschool,N/A,N/A,"$4,300",IFC,"October 2, 2009",Drama,2 hrs. 2 min.,Unrated,N/A,N/A,Rosemarie DeWitt,Ezra Miller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aftershock,N/A,N/A,"$58,900",Radius-TWC,"May 10, 2013",Horror,1 hrs. 31 min.,R,N/A,N/A,Eli Roth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eli Roth,N/A,N/A,N/A
Aftershock (Tangshan Dadizhen),N/A,N/A,"$66,300",China Lion,"October 29, 2010",Foreign,2 hrs. 15 min.,Unrated,N/A,"$100,292,829",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Against All Odds,Taylor Hackford,N/A,"$54,416,300",Columbia,"March 2, 1984",Romance,2 hrs. 2 min.,R,N/A,N/A,Jeff Bridges,N/A,N/A,N/A,N/A,N/A,Taylor Hackford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Against the Ropes,N/A,N/A,"$7,987,700",Paramount,"February 20, 2004",Sports Drama,1 hrs. 55 min.,PG-13,N/A,"$6,614,280",Meg Ryan,Omar Epps,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Kamen,N/A
Against the Sun,N/A,N/A,"$4,800",The American Film Company,"January 23, 2015",Adventure,1 hrs. 40 min.,PG,N/A,"$4,646",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agatha,Michael Apted,N/A,"$25,189,200",Warner Bros.,"February 9, 1979",Unknown,1 hrs. 45 min.,PG,N/A,N/A,Dustin Hoffman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Age of Adaline,N/A,N/A,"$41,813,400",Lionsgate,"April 24, 2015",Drama,1 hrs. 52 min.,PG-13,N/A,"$65,663,276",Blake Lively,Harrison Ford,Amanda Crew,N/A,N/A,N/A,Sidney Kimmel,Gary Lucchesi,Tom Rosenberg,N/A,N/A,N/A,J. Mills Goodloe,Salvador Paskowitz,Rob Simonsen,N/A
The Age of Innocence,Martin Scorsese,N/A,"$65,679,600",Columbia,"September 17, 1993",Period Drama,2 hrs. 18 min.,PG,$34 million,N/A,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Jonathan Pryce*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jay Cocks,Martin Scorsese,Elmer Bernstein,N/A
The Age of Shadows,Jee-woon Kim,N/A,"$527,900",CJ Entertainment,"September 23, 2016",Action Drama,2 hrs. 20 min.,Unrated,N/A,"$541,719",Kang-ho Song,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Age of Uprising:<br/>The Legend of Michael Kohlhaas (U.S. only),N/A,N/A,"$3,400",Music Box Films,"May 30, 2014",Foreign,2 hrs. 2 min.,Unrated,N/A,"$800,313",Mads Mikkelsen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agent Cody Banks,Harald Zwart,N/A,"$67,018,300",MGM,"March 14, 2003",Family Adventure,1 hrs. 50 min.,PG,$28 million,"$58,795,814",Frankie Muniz,Hilary Duff,Martin Donovan,N/A,N/A,N/A,Dylan Sellers,Bob Yari,N/A,N/A,N/A,N/A,Scott Alexander,Larry Karaszewski,John Powell,N/A
Agent Cody Banks 2:<br/>Destination London,N/A,N/A,"$32,077,700",MGM,"March 12, 2004",Family Adventure,1 hrs. 41 min.,PG,$26 million,"$28,818,995",Frankie Muniz,N/A,N/A,N/A,N/A,N/A,Dylan Sellers,Bob Yari,N/A,N/A,N/A,N/A,Don Rhymer,N/A,N/A,N/A
Agent Vinod,N/A,N/A,"$743,200",Eros,"March 23, 2012",Foreign / Action,2 hrs. 37 min.,Unrated,N/A,"$698,210",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Aggressives,N/A,N/A,"$8,600",7th Art,"October 7, 2005",Documentary,1 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agneepath,N/A,N/A,"$2,139,000",Eros,"January 26, 2012",Foreign,2 hrs. 48 min.,Unrated,N/A,"$1,986,748",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agnes and His Brothers,N/A,N/A,"$3,500",First Run,"June 9, 2006",Foreign,1 hrs. 55 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agnes Browne,N/A,N/A,"$233,800",USA Films,"December 3, 1999",Unknown,1 hrs. 32 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agnes of God,N/A,N/A,"$60,857,100",Columbia,"September 13, 1985",Drama / Thriller,1 hrs. 40 min.,PG-13,N/A,N/A,Anne Bancroft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agnivarsha - The Fire and the Rain,N/A,N/A,"$74,800",Cinebella,"August 30, 2002",Unknown,2 hrs. 9 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agora,Alejandro Amenabar,N/A,"$656,800",Newmarket,"May 28, 2010",Historical Drama,2 hrs. 7 min.,R,$70 million,"$39,041,505",Rachel Weisz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alejandro Amenabar,N/A,Dario Marianelli,N/A
The Agronomist,Jonathan Demme,N/A,"$307,000",ThinkFilm,"April 23, 2004",Documentary,1 hrs. 31 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ahead of Time,N/A,N/A,"$36,100",Vitagraph,"September 10, 2010",Documentary,1 hrs. 13 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ai Weiwei:<br/>Never Sorry,N/A,N/A,"$578,700",IFC,"July 27, 2012",Documentary,1 hrs. 30 min.,R,N/A,"$534,100",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ai Weiwei:<br/>The Fake Case,N/A,N/A,"$46,100",International Film Circuit,"May 16, 2014",Documentary,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aida at La Scala,N/A,N/A,"$261,700",Emerging Pictures,"December 9, 2007",Concert,2 hrs. 52 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aileen:<br/>The Life and Death of a Serial Killer,N/A,N/A,"$132,200",Lantern Lane,"January 9, 2004",Documentary,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aimee &amp; Jaguar,N/A,N/A,"$1,450,000",Zeitgeist,"August 11, 2000",Foreign,2 hrs. 5 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ain't In It For My Health:<br/>A Film About Levon Helm,N/A,N/A,"$114,600",Kino Lorber,"April 19, 2013",Documentary,1 hrs. 45 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ain't Them Bodies Saints,N/A,N/A,"$425,400",IFC,"August 16, 2013",Western,1 hrs. 30 min.,R,N/A,"$1,031,243",Rooney Mara,Casey Affleck,Ben Foster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air America,N/A,N/A,"$61,887,000",TriStar,"August 10, 1990",Action Comedy,1 hrs. 53 min.,R,N/A,"$33,461,269",Mel Gibson,"Robert Downey, Jr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air Bud,N/A,N/A,"$42,507,200",Buena Vista,"August 1, 1997",Family,1 hrs. 38 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air Bud:<br/>Golden Receiver,N/A,N/A,"$18,377,200",Miramax,"August 14, 1998",Family,1 hrs. 30 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air Force One,Wolfgang Petersen,N/A,"$317,580,700",Sony / Columbia,"July 25, 1997",Action Thriller,2 hrs. 4 min.,R,$85 million,"$315,156,409",Glenn Close,Harrison Ford,William H. Macy,Gary Oldman,N/A,N/A,Marc Abraham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jerry Goldsmith,N/A
Air Guitar Nation,N/A,N/A,"$87,600",Shadow Dist.,"March 23, 2007",Documentary,1 hrs. 21 min.,R,N/A,"$79,770",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Air I Breathe,N/A,N/A,"$30,300",ThinkFilm,"January 25, 2008",Drama,1 hrs. 37 min.,R,N/A,"$2,597,648",Kevin Bacon,Julie Delpy,Brendan Fraser,Sarah Michelle Gellar,Clark Gregg,Forest Whitaker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marcelo Zarvos,N/A
Air Racers 3D,N/A,N/A,"$1,419,400",3D Entertainment,"April 6, 2012",Documentary,0 hrs. 40 min.,Unrated,N/A,N/A,Paul Walker*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Air Up There,N/A,N/A,"$42,374,500",Miramax,"January 7, 1994",Sports Comedy,1 hrs. 47 min.,PG,N/A,N/A,Kevin Bacon,N/A,N/A,N/A,N/A,N/A,Ted Field,Scott Kroopf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Airborne,Rob Bowman,N/A,"$5,803,800",Warner Bros.,"September 17, 1993",Comedy,2 hrs. 9 min.,PG,N/A,N/A,Jack Black*,Seth Green,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christophe Beck,N/A
Airheads,Michael Lehman,N/A,"$11,600,100",Fox,"August 5, 1994",Comedy,1 hrs. 32 min.,PG-13,N/A,N/A,Brendan Fraser,Adam Sandler,Chris Farley,N/A,N/A,N/A,Robert Simonds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carter Burwell,N/A
Airplane II:<br/>The Sequel,N/A,N/A,"$76,015,900",Paramount,"December 10, 1982",Sci-Fi Comedy,1 hrs. 24 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Elmer Bernstein,N/A
Airplane!,Jim Abrahams,David Zucker,"$261,529,100",Paramount,"June 27, 1980",Comedy,1 hrs. 28 min.,PG,$3.5 million,N/A,Leslie Nielsen,N/A,N/A,N/A,N/A,N/A,Jim Abrahams,Hunt Lowry*,David Zucker,Jerry Zucker,N/A,N/A,Jim Abrahams,David Zucker,Elmer Bernstein,N/A
Airport,N/A,N/A,"$557,318,100",Universal,"March 5, 1970",Drama / Thriller,2 hrs. 17 min.,G,$10 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aitraaz,N/A,N/A,"$124,900",Zee TV,"November 12, 2004",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ajami,N/A,N/A,"$660,000",Kino,"February 3, 2010",Drama,2 hrs. 0 min.,Unrated,"$1,000,000","$1,291,848",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AKA,N/A,N/A,"$68,300",Empire,"December 12, 2003",Unknown,2 hrs. 0 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akeelah and the Bee,N/A,N/A,"$24,258,400",Lionsgate,"April 28, 2006",Drama,1 hrs. 52 min.,PG,$8 million,"$18,948,425",Laurence Fishburne,Angela Bassett,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akira,N/A,N/A,"$875,700",Streamline,"December 25, 1989",Animation,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akira (Re-issue),N/A,N/A,"$169,800",Pioneer,"March 30, 2001",Animation,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akira Kurosawa's Dreams,N/A,N/A,"$3,912,500",Warner Bros.,"August 24, 1990",Foreign,2 hrs. 0 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Al Franken:<br/>God Spoke,N/A,N/A,"$132,600",Balcony Releasing,"September 13, 2006",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama Moon,N/A,N/A,"$50,700",Unknown,"March 18, 2011",Family Adventure,1 hrs. 38 min.,PG,N/A,N/A,John Goodman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aladdin,N/A,N/A,"$442,089,000",Buena Vista,"November 13, 1992",Animation,1 hrs. 30 min.,G,$28 million,"$504,050,219",Robin Williams,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ted Elliott,Terry Rossio,Alan Menken,N/A
Alamar,N/A,N/A,"$66,600",Film Movement,"July 14, 2010",Drama,1 hrs. 13 min.,Unrated,N/A,"$61,613",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Alamo (2004),John Lee Hancock,N/A,"$30,428,000",Buena Vista,"April 9, 2004",War,2 hrs. 17 min.,PG-13,$107 million,"$25,819,961",Billy Bob Thornton,Dennis Quaid,Patrick Wilson,N/A,N/A,N/A,Ron Howard,Mark Johnson,N/A,N/A,N/A,N/A,Leslie Bohem,Stephen Gaghan,Carter Burwell,N/A
Alan Partridge:<br/>The Movie,N/A,N/A,"$155,300",Magnolia,"April 4, 2014",Comedy,1 hrs. 30 min.,R,N/A,"$9,727,099",Steve Coogan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ilan Eshkeri,N/A
An Alan Smithee Film:<br/>Burn Hollywood Burn,N/A,N/A,"$82,300",Buena Vista,"February 27, 1998",Comedy,1 hrs. 26 min.,R,N/A,"$52,850",Jackie Chan*,Sylvester Stallone*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joe Eszterhas,N/A,N/A,N/A
The Alarmist,N/A,N/A,"$107,600",Lions Gate,"October 16, 1998",Unknown,1 hrs. 32 min.,R,N/A,N/A,Ryan Reynolds,Stanley Tucci,N/A,N/A,N/A,N/A,Beau Flynn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christophe Beck,N/A
Alaska,N/A,N/A,"$22,562,600",Sony / Columbia,"August 14, 1996",Family Adventure,1 hrs. 49 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert Nobbs,N/A,N/A,"$3,206,200",Roadside Attractions,"January 27, 2012",Drama,1 hrs. 54 min.,R,N/A,"$5,634,828",Glenn Close,Mia Wasikowska,Aaron Johnson,Brendan Gleeson,N/A,N/A,Glenn Close,N/A,N/A,N/A,N/A,N/A,Glenn Close,N/A,N/A,N/A
Albino Alligator,N/A,N/A,"$623,300",Miramax,"January 17, 1997",Unknown,1 hrs. 34 min.,R,$6 million,N/A,Matt Dillon,Viggo Mortensen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Brook,N/A
Alex and Emma,Rob Reiner,N/A,"$19,877,900",Warner Bros.,"June 20, 2003",Romantic Comedy,1 hrs. 40 min.,PG-13,$30 million,"$15,368,897",Kate Hudson,Luke Wilson,N/A,N/A,N/A,N/A,Todd Black,Jason Blumenthal,Steve Tisch,N/A,N/A,N/A,Jeremy Leven,N/A,Marc Shaiman,N/A
Alex Cross,Rob Cohen,N/A,"$27,111,400",Lionsgate/Summit,"October 19, 2012",Crime Thriller,1 hrs. 41 min.,PG-13,$35 million,"$34,588,412",Tyler Perry,Edward Burns,N/A,N/A,N/A,N/A,Randall Emmett,George Furla,N/A,N/A,N/A,N/A,Marc Moss,Kerry Williamson,John Debney,N/A
Alex Rider:<br/>Operation Stormbreaker,Geoffrey Sax,N/A,"$872,100",Weinstein Company,"October 6, 2006",Action / Adventure,1 hrs. 33 min.,PG,N/A,"$23,937,870",Ewan McGregor,Sophie Okonedo,Alex Pettyfer,Mickey Rourke,Andy Serkis,Alicia Silverstone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alexander,Oliver Stone,N/A,"$46,543,400",Warner Bros.,"November 24, 2004",Historical Epic,2 hrs. 56 min.,R,$155 million,"$167,298,192",Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto,Rosario Dawson,Anthony Hopkins,Jon Kilik,Gianni Nunnari,N/A,N/A,N/A,N/A,Laeta Kalogridis,N/A,N/A,N/A
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,N/A,"$68,045,800",Buena Vista,"October 10, 2014",Family,1 hrs. 21 min.,PG,$28 million,"$101,379,287",Steve Carell,Jennifer Garner,Bella Thorne,Jennifer Coolidge,N/A,N/A,Shawn Levy,N/A,N/A,N/A,N/A,N/A,Rob Lieber,N/A,Christophe Beck,N/A
Alexandra,N/A,N/A,"$150,600",Cinema Guild,"March 26, 2008",Foreign,1 hrs. 35 min.,Unrated,N/A,"$454,014",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alexandra's Project,N/A,N/A,"$1,023,500",Alliance,"December 19, 2003",Drama / Thriller,1 hrs. 43 min.,Unrated,N/A,"$1,217,812",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfie,Charles Shyer,N/A,"$18,189,300",Paramount,"November 5, 2004",Comedy / Drama,1 hrs. 42 min.,R,$60 million,"$35,150,546",Jude Law,Marisa Tomei,Susan Sarandon,Nia Long,Omar Epps,N/A,Charles Shyer,N/A,N/A,N/A,N/A,N/A,Charles Shyer,N/A,John Powell,N/A
Algorithms,N/A,N/A,"$2,000",First Run,"October 17, 2014",Documentary,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ali,Michael Mann,N/A,"$85,219,700",Sony / Columbia,"December 25, 2001",Sports Drama,2 hrs. 36 min.,R,$107 million,"$87,713,825",Will Smith,Jamie Foxx,Jon Voight,Jada Pinkett-Smith,Jeffrey Wright,N/A,Graham King,James Lassiter,Michael Mann,Jon Peters,N/A,N/A,Michael Mann,Eric Roth,N/A,N/A
Alias Betty,N/A,N/A,"$300,600",Wellspring,"September 13, 2002",Unknown,1 hrs. 41 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
