title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
49 Up,N/A,N/A,"$311,100",First Run,"October 6, 2006",Documentary,2 hrs. 15 min.,Unrated,N/A,"$696,975",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4:44:<br/>Last Day on Earth,N/A,N/A,"$19,000",IFC,"March 23, 2012",Fantasy Drama,1 hrs. 21 min.,R,N/A,"$17,801",Willem Dafoe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 4th Animation Celebration,N/A,N/A,"$368,200",EXP Ent.,"April 1, 1992",Animation,1 hrs. 28 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 4th Tenor,N/A,N/A,"$3,100",Wine Women &amp; Song,"November 22, 2002",Unknown,1 hrs. 37 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Lennertz,N/A
5 Broken Cameras,N/A,N/A,"$115,600",Kino Lorber,"May 30, 2012",Foreign,1 hrs. 30 min.,Unrated,N/A,"$109,983",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 Days of War,Renny Harlin,N/A,"$18,600",Anchor Bay Films,"August 19, 2011",Action Drama,1 hrs. 53 min.,R,$12 million,"$17,479",Val Kilmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 Flights Up,N/A,N/A,"$1,009,400",Focus Features,"May 8, 2015",Drama,1 hrs. 32 min.,PG-13,N/A,"$1,020,921",Morgan Freeman,Diane Keaton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 to 7,N/A,N/A,"$159,300",IFC,"April 3, 2015",Romance,1 hrs. 35 min.,R,N/A,"$162,685",Anton Yelchin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50 First Dates,Peter Segal,N/A,"$164,131,200",Sony / Columbia,"February 13, 2004",Romantic Comedy,1 hrs. 36 min.,PG-13,$75 million,"$196,482,882",Adam Sandler,Drew Barrymore,Rob Schneider,Kevin James*,N/A,N/A,Jack Giarraputo,Steve Golin,Daniel Lupi,N/A,N/A,N/A,N/A,N/A,Teddy Castellucci,N/A
50 to 1,Jim Wilson,N/A,"$1,091,700",Ten Furlongs,"March 21, 2014",Drama,1 hrs. 50 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jim Wilson,N/A,N/A,N/A,N/A,N/A,Jim Wilson,N/A,N/A,N/A
